"","supplysector","subsector0","subsector","year","input.capital","capital.overnight","fixed.charge.rate","intermittent.technology"
"1","elect_td_bld","rooftop_pv","rooftop_pv",1975,"capital",1083,0.1,"rooftop_pv"
"2","elect_td_bld","rooftop_pv","rooftop_pv",1990,"capital",1083,0.1,"rooftop_pv"
"3","elect_td_bld","rooftop_pv","rooftop_pv",2005,"capital",1083,0.1,"rooftop_pv"
"4","elect_td_bld","rooftop_pv","rooftop_pv",2010,"capital",1083,0.1,"rooftop_pv"
"5","elect_td_bld","rooftop_pv","rooftop_pv",2015,"capital",1083,0.1,"rooftop_pv"
"6","elect_td_bld","rooftop_pv","rooftop_pv",2020,"capital",763,0.1,"rooftop_pv"
"7","elect_td_bld","rooftop_pv","rooftop_pv",2025,"capital",575,0.1,"rooftop_pv"
"8","elect_td_bld","rooftop_pv","rooftop_pv",2030,"capital",464,0.1,"rooftop_pv"
"9","elect_td_bld","rooftop_pv","rooftop_pv",2035,"capital",398,0.1,"rooftop_pv"
"10","elect_td_bld","rooftop_pv","rooftop_pv",2040,"capital",359,0.1,"rooftop_pv"
"11","elect_td_bld","rooftop_pv","rooftop_pv",2045,"capital",336,0.1,"rooftop_pv"
"12","elect_td_bld","rooftop_pv","rooftop_pv",2050,"capital",323,0.1,"rooftop_pv"
"13","elect_td_bld","rooftop_pv","rooftop_pv",2055,"capital",315,0.1,"rooftop_pv"
"14","elect_td_bld","rooftop_pv","rooftop_pv",2060,"capital",310,0.1,"rooftop_pv"
"15","elect_td_bld","rooftop_pv","rooftop_pv",2065,"capital",307,0.1,"rooftop_pv"
"16","elect_td_bld","rooftop_pv","rooftop_pv",2070,"capital",306,0.1,"rooftop_pv"
"17","elect_td_bld","rooftop_pv","rooftop_pv",2075,"capital",305,0.1,"rooftop_pv"
"18","elect_td_bld","rooftop_pv","rooftop_pv",2080,"capital",304,0.1,"rooftop_pv"
"19","elect_td_bld","rooftop_pv","rooftop_pv",2085,"capital",304,0.1,"rooftop_pv"
"20","elect_td_bld","rooftop_pv","rooftop_pv",2090,"capital",303,0.1,"rooftop_pv"
"21","elect_td_bld","rooftop_pv","rooftop_pv",2095,"capital",303,0.1,"rooftop_pv"
"22","elect_td_bld","rooftop_pv","rooftop_pv",2100,"capital",303,0.1,"rooftop_pv"
"23","intermediate generation","solar","PV_int",1975,"capital",667,0.13,"PV_int"
"24","intermediate generation","solar","PV_int",1990,"capital",667,0.13,"PV_int"
"25","intermediate generation","solar","PV_int",2005,"capital",667,0.13,"PV_int"
"26","intermediate generation","solar","PV_int",2010,"capital",667,0.13,"PV_int"
"27","intermediate generation","solar","PV_int",2015,"capital",667,0.13,"PV_int"
"28","intermediate generation","solar","PV_int",2020,"capital",478,0.13,"PV_int"
"29","intermediate generation","solar","PV_int",2025,"capital",367,0.13,"PV_int"
"30","intermediate generation","solar","PV_int",2030,"capital",301,0.13,"PV_int"
"31","intermediate generation","solar","PV_int",2035,"capital",263,0.13,"PV_int"
"32","intermediate generation","solar","PV_int",2040,"capital",240,0.13,"PV_int"
"33","intermediate generation","solar","PV_int",2045,"capital",226,0.13,"PV_int"
"34","intermediate generation","solar","PV_int",2050,"capital",218,0.13,"PV_int"
"35","intermediate generation","solar","PV_int",2055,"capital",213,0.13,"PV_int"
"36","intermediate generation","solar","PV_int",2060,"capital",211,0.13,"PV_int"
"37","intermediate generation","solar","PV_int",2065,"capital",209,0.13,"PV_int"
"38","intermediate generation","solar","PV_int",2070,"capital",208,0.13,"PV_int"
"39","intermediate generation","solar","PV_int",2075,"capital",207,0.13,"PV_int"
"40","intermediate generation","solar","PV_int",2080,"capital",207,0.13,"PV_int"
"41","intermediate generation","solar","PV_int",2085,"capital",207,0.13,"PV_int"
"42","intermediate generation","solar","PV_int",2090,"capital",207,0.13,"PV_int"
"43","intermediate generation","solar","PV_int",2095,"capital",207,0.13,"PV_int"
"44","intermediate generation","solar","PV_int",2100,"capital",207,0.13,"PV_int"
"45","subpeak generation","solar","PV_subpeak",1975,"capital",667,0.13,"PV_subpeak"
