"","year","input.capital","capital.overnight","fixed.charge.rate","supplysector","subsector0","subsector","intermittent.technology"
"1",1975,"capital",451,0.13,"base load generation","wind","wind_base","wind_base"
"2",1990,"capital",451,0.13,"base load generation","wind","wind_base","wind_base"
"3",2005,"capital",451,0.13,"base load generation","wind","wind_base","wind_base"
"4",2010,"capital",451,0.13,"base load generation","wind","wind_base","wind_base"
"5",2015,"capital",451,0.13,"base load generation","wind","wind_base","wind_base"
"6",2020,"capital",406,0.13,"base load generation","wind","wind_base","wind_base"
"7",2025,"capital",371,0.13,"base load generation","wind","wind_base","wind_base"
"8",2030,"capital",345,0.13,"base load generation","wind","wind_base","wind_base"
"9",2035,"capital",324,0.13,"base load generation","wind","wind_base","wind_base"
"10",2040,"capital",308,0.13,"base load generation","wind","wind_base","wind_base"
"11",2045,"capital",295,0.13,"base load generation","wind","wind_base","wind_base"
"12",2050,"capital",286,0.13,"base load generation","wind","wind_base","wind_base"
"13",2055,"capital",278,0.13,"base load generation","wind","wind_base","wind_base"
"14",2060,"capital",272,0.13,"base load generation","wind","wind_base","wind_base"
"15",2065,"capital",268,0.13,"base load generation","wind","wind_base","wind_base"
"16",2070,"capital",264,0.13,"base load generation","wind","wind_base","wind_base"
"17",2075,"capital",262,0.13,"base load generation","wind","wind_base","wind_base"
"18",2080,"capital",260,0.13,"base load generation","wind","wind_base","wind_base"
"19",2085,"capital",258,0.13,"base load generation","wind","wind_base","wind_base"
"20",2090,"capital",257,0.13,"base load generation","wind","wind_base","wind_base"
"21",2095,"capital",256,0.13,"base load generation","wind","wind_base","wind_base"
"22",2100,"capital",255,0.13,"base load generation","wind","wind_base","wind_base"
"23",1975,"capital",1118,0.13,"base load generation","wind","wind_base_offshore","wind_base_offshore"
"24",1990,"capital",1118,0.13,"base load generation","wind","wind_base_offshore","wind_base_offshore"
"25",2005,"capital",1118,0.13,"base load generation","wind","wind_base_offshore","wind_base_offshore"
"26",2010,"capital",1118,0.13,"base load generation","wind","wind_base_offshore","wind_base_offshore"
"27",2015,"capital",1118,0.13,"base load generation","wind","wind_base_offshore","wind_base_offshore"
"28",2020,"capital",951,0.13,"base load generation","wind","wind_base_offshore","wind_base_offshore"
"29",2025,"capital",821,0.13,"base load generation","wind","wind_base_offshore","wind_base_offshore"
"30",2030,"capital",721,0.13,"base load generation","wind","wind_base_offshore","wind_base_offshore"
"31",2035,"capital",644,0.13,"base load generation","wind","wind_base_offshore","wind_base_offshore"
"32",2040,"capital",584,0.13,"base load generation","wind","wind_base_offshore","wind_base_offshore"
"33",2045,"capital",538,0.13,"base load generation","wind","wind_base_offshore","wind_base_offshore"
"34",2050,"capital",502,0.13,"base load generation","wind","wind_base_offshore","wind_base_offshore"
"35",2055,"capital",474,0.13,"base load generation","wind","wind_base_offshore","wind_base_offshore"
"36",2060,"capital",453,0.13,"base load generation","wind","wind_base_offshore","wind_base_offshore"
"37",2065,"capital",436,0.13,"base load generation","wind","wind_base_offshore","wind_base_offshore"
"38",2070,"capital",423,0.13,"base load generation","wind","wind_base_offshore","wind_base_offshore"
"39",2075,"capital",413,0.13,"base load generation","wind","wind_base_offshore","wind_base_offshore"
"40",2080,"capital",406,0.13,"base load generation","wind","wind_base_offshore","wind_base_offshore"
"41",2085,"capital",400,0.13,"base load generation","wind","wind_base_offshore","wind_base_offshore"
"42",2090,"capital",395,0.13,"base load generation","wind","wind_base_offshore","wind_base_offshore"
"43",2095,"capital",391,0.13,"base load generation","wind","wind_base_offshore","wind_base_offshore"
"44",2100,"capital",389,0.13,"base load generation","wind","wind_base_offshore","wind_base_offshore"
"45",1975,"capital",1083,0.1,"elect_td_bld","rooftop_pv","rooftop_pv","rooftop_pv"
"46",1990,"capital",1083,0.1,"elect_td_bld","rooftop_pv","rooftop_pv","rooftop_pv"
"47",2005,"capital",1083,0.1,"elect_td_bld","rooftop_pv","rooftop_pv","rooftop_pv"
"48",2010,"capital",1083,0.1,"elect_td_bld","rooftop_pv","rooftop_pv","rooftop_pv"
"49",2015,"capital",1083,0.1,"elect_td_bld","rooftop_pv","rooftop_pv","rooftop_pv"
"50",2020,"capital",763,0.1,"elect_td_bld","rooftop_pv","rooftop_pv","rooftop_pv"
"51",2025,"capital",575,0.1,"elect_td_bld","rooftop_pv","rooftop_pv","rooftop_pv"
"52",2030,"capital",464,0.1,"elect_td_bld","rooftop_pv","rooftop_pv","rooftop_pv"
"53",2035,"capital",398,0.1,"elect_td_bld","rooftop_pv","rooftop_pv","rooftop_pv"
"54",2040,"capital",359,0.1,"elect_td_bld","rooftop_pv","rooftop_pv","rooftop_pv"
"55",2045,"capital",336,0.1,"elect_td_bld","rooftop_pv","rooftop_pv","rooftop_pv"
"56",2050,"capital",323,0.1,"elect_td_bld","rooftop_pv","rooftop_pv","rooftop_pv"
"57",2055,"capital",315,0.1,"elect_td_bld","rooftop_pv","rooftop_pv","rooftop_pv"
"58",2060,"capital",310,0.1,"elect_td_bld","rooftop_pv","rooftop_pv","rooftop_pv"
"59",2065,"capital",307,0.1,"elect_td_bld","rooftop_pv","rooftop_pv","rooftop_pv"
"60",2070,"capital",306,0.1,"elect_td_bld","rooftop_pv","rooftop_pv","rooftop_pv"
"61",2075,"capital",305,0.1,"elect_td_bld","rooftop_pv","rooftop_pv","rooftop_pv"
"62",2080,"capital",304,0.1,"elect_td_bld","rooftop_pv","rooftop_pv","rooftop_pv"
"63",2085,"capital",304,0.1,"elect_td_bld","rooftop_pv","rooftop_pv","rooftop_pv"
"64",2090,"capital",303,0.1,"elect_td_bld","rooftop_pv","rooftop_pv","rooftop_pv"
"65",2095,"capital",303,0.1,"elect_td_bld","rooftop_pv","rooftop_pv","rooftop_pv"
"66",2100,"capital",303,0.1,"elect_td_bld","rooftop_pv","rooftop_pv","rooftop_pv"
"67",1975,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"68",1975,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"69",1975,"capital",1362,0.13,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"70",1990,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"71",1990,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"72",1990,"capital",1362,0.13,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"73",2005,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"74",2005,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"75",2005,"capital",1362,0.13,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"76",2010,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"77",2010,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"78",2010,"capital",1362,0.13,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"79",2015,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"80",2015,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"81",2015,"capital",1362,0.13,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"82",2020,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"83",2020,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"84",2020,"capital",1070,0.13,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"85",2025,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"86",2025,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"87",2025,"capital",877,0.13,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"88",2030,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"89",2030,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"90",2030,"capital",750,0.13,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"91",2035,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"92",2035,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"93",2035,"capital",666,0.13,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"94",2040,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"95",2040,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"96",2040,"capital",611,0.13,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"97",2045,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"98",2045,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"99",2045,"capital",574,0.13,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"100",2050,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"101",2050,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"102",2050,"capital",550,0.13,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"103",2055,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"104",2055,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"105",2055,"capital",535,0.13,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"106",2060,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"107",2060,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"108",2060,"capital",524,0.13,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"109",2065,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"110",2065,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"111",2065,"capital",517,0.13,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"112",2070,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"113",2070,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"114",2070,"capital",513,0.13,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"115",2075,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"116",2075,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"117",2075,"capital",510,0.13,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"118",2080,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"119",2080,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"120",2080,"capital",508,0.13,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"121",2085,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"122",2085,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"123",2085,"capital",507,0.13,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"124",2090,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"125",2090,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"126",2090,"capital",506,0.13,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"127",2095,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"128",2095,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"129",2095,"capital",505,0.13,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"130",2100,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"131",2100,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"132",2100,"capital",505,0.13,"intermediate generation","solar","CSP_int","CSP_int (dry_hybrid)"
"133",1975,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"134",1975,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"135",1975,"capital",1362,0.13,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"136",1990,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"137",1990,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"138",1990,"capital",1362,0.13,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"139",2005,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"140",2005,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"141",2005,"capital",1362,0.13,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
