"","sector.name","subsector.name0","subsector.name","year","input.OM.fixed","OM.fixed","intermittent.technology"
"1","base load generation","wind","wind_base",1975,"OM-fixed",14.54,"wind_base"
"2","base load generation","wind","wind_base",1990,"OM-fixed",14.54,"wind_base"
"3","base load generation","wind","wind_base",2005,"OM-fixed",14.54,"wind_base"
"4","base load generation","wind","wind_base",2010,"OM-fixed",14.54,"wind_base"
"5","base load generation","wind","wind_base",2015,"OM-fixed",14.54,"wind_base"
"6","base load generation","wind","wind_base",2020,"OM-fixed",12.9,"wind_base"
"7","base load generation","wind","wind_base",2025,"OM-fixed",11.76,"wind_base"
"8","base load generation","wind","wind_base",2030,"OM-fixed",10.97,"wind_base"
"9","base load generation","wind","wind_base",2035,"OM-fixed",10.42,"wind_base"
"10","base load generation","wind","wind_base",2040,"OM-fixed",10.04,"wind_base"
"11","base load generation","wind","wind_base",2045,"OM-fixed",9.77,"wind_base"
"12","base load generation","wind","wind_base",2050,"OM-fixed",9.58,"wind_base"
"13","base load generation","wind","wind_base",2055,"OM-fixed",9.46,"wind_base"
"14","base load generation","wind","wind_base",2060,"OM-fixed",9.37,"wind_base"
"15","base load generation","wind","wind_base",2065,"OM-fixed",9.3,"wind_base"
"16","base load generation","wind","wind_base",2070,"OM-fixed",9.26,"wind_base"
"17","base load generation","wind","wind_base",2075,"OM-fixed",9.23,"wind_base"
"18","base load generation","wind","wind_base",2080,"OM-fixed",9.21,"wind_base"
"19","base load generation","wind","wind_base",2085,"OM-fixed",9.19,"wind_base"
"20","base load generation","wind","wind_base",2090,"OM-fixed",9.18,"wind_base"
"21","base load generation","wind","wind_base",2095,"OM-fixed",9.18,"wind_base"
"22","base load generation","wind","wind_base",2100,"OM-fixed",9.17,"wind_base"
"23","base load generation","wind","wind_base_offshore",1975,"OM-fixed",42.79,"wind_base_offshore"
"24","base load generation","wind","wind_base_offshore",1990,"OM-fixed",42.79,"wind_base_offshore"
"25","base load generation","wind","wind_base_offshore",2005,"OM-fixed",42.79,"wind_base_offshore"
"26","base load generation","wind","wind_base_offshore",2010,"OM-fixed",42.79,"wind_base_offshore"
