"","sector.name","subsector.name","intermittent.technology","year","input.OM.var","OM.var","subsector.name0"
"1","elect_td_bld","rooftop_pv","rooftop_pv",1975,"OM-var",0,"rooftop_pv"
"2","elect_td_bld","rooftop_pv","rooftop_pv",1990,"OM-var",0,"rooftop_pv"
"3","elect_td_bld","rooftop_pv","rooftop_pv",2005,"OM-var",0,"rooftop_pv"
"4","elect_td_bld","rooftop_pv","rooftop_pv",2010,"OM-var",0,"rooftop_pv"
"5","elect_td_bld","rooftop_pv","rooftop_pv",2015,"OM-var",0,"rooftop_pv"
"6","elect_td_bld","rooftop_pv","rooftop_pv",2020,"OM-var",0,"rooftop_pv"
"7","elect_td_bld","rooftop_pv","rooftop_pv",2025,"OM-var",0,"rooftop_pv"
"8","elect_td_bld","rooftop_pv","rooftop_pv",2030,"OM-var",0,"rooftop_pv"
"9","elect_td_bld","rooftop_pv","rooftop_pv",2035,"OM-var",0,"rooftop_pv"
"10","elect_td_bld","rooftop_pv","rooftop_pv",2040,"OM-var",0,"rooftop_pv"
"11","elect_td_bld","rooftop_pv","rooftop_pv",2045,"OM-var",0,"rooftop_pv"
"12","elect_td_bld","rooftop_pv","rooftop_pv",2050,"OM-var",0,"rooftop_pv"
"13","elect_td_bld","rooftop_pv","rooftop_pv",2055,"OM-var",0,"rooftop_pv"
"14","elect_td_bld","rooftop_pv","rooftop_pv",2060,"OM-var",0,"rooftop_pv"
"15","elect_td_bld","rooftop_pv","rooftop_pv",2065,"OM-var",0,"rooftop_pv"
"16","elect_td_bld","rooftop_pv","rooftop_pv",2070,"OM-var",0,"rooftop_pv"
"17","elect_td_bld","rooftop_pv","rooftop_pv",2075,"OM-var",0,"rooftop_pv"
"18","elect_td_bld","rooftop_pv","rooftop_pv",2080,"OM-var",0,"rooftop_pv"
"19","elect_td_bld","rooftop_pv","rooftop_pv",2085,"OM-var",0,"rooftop_pv"
"20","elect_td_bld","rooftop_pv","rooftop_pv",2090,"OM-var",0,"rooftop_pv"
"21","elect_td_bld","rooftop_pv","rooftop_pv",2095,"OM-var",0,"rooftop_pv"
"22","elect_td_bld","rooftop_pv","rooftop_pv",2100,"OM-var",0,"rooftop_pv"
"23","intermediate generation","PV_int","PV_int",1975,"OM-var",0,"solar"
"24","intermediate generation","PV_int","PV_int",1990,"OM-var",0,"solar"
"25","intermediate generation","PV_int","PV_int",2005,"OM-var",0,"solar"
"26","intermediate generation","PV_int","PV_int",2010,"OM-var",0,"solar"
"27","intermediate generation","PV_int","PV_int",2015,"OM-var",0,"solar"
"28","intermediate generation","PV_int","PV_int",2020,"OM-var",0,"solar"
"29","intermediate generation","PV_int","PV_int",2025,"OM-var",0,"solar"
"30","intermediate generation","PV_int","PV_int",2030,"OM-var",0,"solar"
"31","intermediate generation","PV_int","PV_int",2035,"OM-var",0,"solar"
"32","intermediate generation","PV_int","PV_int",2040,"OM-var",0,"solar"
"33","intermediate generation","PV_int","PV_int",2045,"OM-var",0,"solar"
"34","intermediate generation","PV_int","PV_int",2050,"OM-var",0,"solar"
"35","intermediate generation","PV_int","PV_int",2055,"OM-var",0,"solar"
"36","intermediate generation","PV_int","PV_int",2060,"OM-var",0,"solar"
"37","intermediate generation","PV_int","PV_int",2065,"OM-var",0,"solar"
"38","intermediate generation","PV_int","PV_int",2070,"OM-var",0,"solar"
"39","intermediate generation","PV_int","PV_int",2075,"OM-var",0,"solar"
"40","intermediate generation","PV_int","PV_int",2080,"OM-var",0,"solar"
"41","intermediate generation","PV_int","PV_int",2085,"OM-var",0,"solar"
"42","intermediate generation","PV_int","PV_int",2090,"OM-var",0,"solar"
"43","intermediate generation","PV_int","PV_int",2095,"OM-var",0,"solar"
"44","intermediate generation","PV_int","PV_int",2100,"OM-var",0,"solar"
"45","intermediate generation","CSP_int","CSP_int",1975,"OM-var",1.14,"solar"
"46","intermediate generation","CSP_int","CSP_int",1990,"OM-var",1.14,"solar"
"47","intermediate generation","CSP_int","CSP_int",2005,"OM-var",1.14,"solar"
"48","intermediate generation","CSP_int","CSP_int",2010,"OM-var",1.14,"solar"
"49","intermediate generation","CSP_int","CSP_int",2015,"OM-var",1.14,"solar"
"50","intermediate generation","CSP_int","CSP_int",2020,"OM-var",0.97,"solar"
"51","intermediate generation","CSP_int","CSP_int",2025,"OM-var",0.97,"solar"
"52","intermediate generation","CSP_int","CSP_int",2030,"OM-var",0.97,"solar"
"53","intermediate generation","CSP_int","CSP_int",2035,"OM-var",0.97,"solar"
"54","intermediate generation","CSP_int","CSP_int",2040,"OM-var",0.97,"solar"
"55","intermediate generation","CSP_int","CSP_int",2045,"OM-var",0.97,"solar"
"56","intermediate generation","CSP_int","CSP_int",2050,"OM-var",0.97,"solar"
"57","intermediate generation","CSP_int","CSP_int",2055,"OM-var",0.97,"solar"
"58","intermediate generation","CSP_int","CSP_int",2060,"OM-var",0.97,"solar"
"59","intermediate generation","CSP_int","CSP_int",2065,"OM-var",0.97,"solar"
"60","intermediate generation","CSP_int","CSP_int",2070,"OM-var",0.97,"solar"
"61","intermediate generation","CSP_int","CSP_int",2075,"OM-var",0.97,"solar"
"62","intermediate generation","CSP_int","CSP_int",2080,"OM-var",0.97,"solar"
"63","intermediate generation","CSP_int","CSP_int",2085,"OM-var",0.97,"solar"
"64","intermediate generation","CSP_int","CSP_int",2090,"OM-var",0.97,"solar"
"65","intermediate generation","CSP_int","CSP_int",2095,"OM-var",0.97,"solar"
"66","intermediate generation","CSP_int","CSP_int",2100,"OM-var",0.97,"solar"
"67","subpeak generation","PV_subpeak","PV_subpeak",1975,"OM-var",0,"solar"
"68","subpeak generation","PV_subpeak","PV_subpeak",1990,"OM-var",0,"solar"
"69","subpeak generation","PV_subpeak","PV_subpeak",2005,"OM-var",0,"solar"
"70","subpeak generation","PV_subpeak","PV_subpeak",2010,"OM-var",0,"solar"
"71","subpeak generation","PV_subpeak","PV_subpeak",2015,"OM-var",0,"solar"
"72","subpeak generation","PV_subpeak","PV_subpeak",2020,"OM-var",0,"solar"
"73","subpeak generation","PV_subpeak","PV_subpeak",2025,"OM-var",0,"solar"
"74","subpeak generation","PV_subpeak","PV_subpeak",2030,"OM-var",0,"solar"
"75","subpeak generation","PV_subpeak","PV_subpeak",2035,"OM-var",0,"solar"
"76","subpeak generation","PV_subpeak","PV_subpeak",2040,"OM-var",0,"solar"
"77","subpeak generation","PV_subpeak","PV_subpeak",2045,"OM-var",0,"solar"
